id	subject	day	starttime	length	teacher	group	room	period	experiod	inweek	exweek	exclass	realweeks	equipment
3292533	Break Junior	Wed	1110	20		6A,6B	Outside Senior,Student Lounge			34-43, 45-51, 3-8, 10-12, 14-19, 21-23	33	0	34-43, 45-51, 3-8, 10-12, 14-19, 21-23	
3292716	Break Junior	Wed	1110	30		4A	Outside Junior				33	0	34-43, 45-51, 2-8, 11-12, 14-23	
3291826	Lunch	Wed	1115	20	MeAb,FaCa,RoDi,EmLa,DaCa	7A,7B	Big Lunch Room				33	0	34-43, 45-51, 2-8, 11-12, 14-23	
3291848	Lunch	Wed	1115	20	MaBe,JoEn,LiJä,MiJä,AnPe	8A,8B,8C	Big Lunch Room				33	0	34-43, 45-51, 2-8, 11-12, 14-23	
3292586	Rast	Wed	1115	30	LinRau							0	33-42, 44-47, 49-51, 2-8, 11-12, 14-23	
3292528	Rast	Wed	1120	30	JaOm							0	33-42, 44-47, 49-51, 2-8, 11-12, 14-23	
3292463	Rast	Wed	1130	30	AvdM							0	33-42, 44-47, 49-51, 2-8, 11-12, 14-23	
3292467	Changing Time	Wed	1130	5	OlGo	6A	Changing Room				33	0	34-43, 45-51, 2-8, 11-12, 14-23	
3292653	Rast	Wed	1130	30	TiLe							0	33-42, 44-47, 49-51, 2-8, 11-12, 14-23	
3292845	Lunch	Wed	1130	60		4A				33		0	33	
3291822	HKK	Wed	1135	55	MaEn	6B:1	Home Economics	Vt				0	2-8, 11-12, 14-23	
3291823	BL	Wed	1135	55	AnaBon,LoGl	6B:2	D47	Vt				0	2-8, 11-12, 14-23	
3291824	HKK	Wed	1135	55	MaEn	6B:2	Home Economics			34-43, 45-51		0	34-43, 45-51	
3291825	BL	Wed	1135	55	AnaBon,LoGl	6B:1	D47			34-43, 45-51		0	34-43, 45-51	
3292005	Break Senior	Wed	1135	20		7A,7B	Outside Senior,Student Lounge				33	0	34-43, 45-51, 2-8, 11-12, 14-23	
3292038	Break Senior	Wed	1135	20		8A,8B,8C	Outside Senior,Student Lounge				33	0	34-43, 45-51, 2-8, 11-12, 14-23	
3292637	IDH	Wed	1135	50	OlGo	6A	Gym Hall				33	0	34-43, 45-51, 2-8, 11-12, 14-23	
3291907	MA	Wed	1140	60	TrPl	4A	D45				33	0	34-43, 45-51, 2-8, 11-12, 14-23	
3292150	Lunch	Wed	1140	20	LilCor,BjJo,ChLa,MaFu,KaMa,MatWik	9A,9B,9C	Big Lunch Room			34-43, 45-51, 3-8, 10-12, 14-19, 21-23	33	0	34-43, 45-51, 3-8, 10-12, 14-19, 21-23	
3291788	Rast	Wed	1145	30	LSt							0	33-42, 44-47, 49-51, 2-8, 11-12, 14-23	
3292192	SO	Wed	1145	45	PhGh	5A	D40			34-43, 45-51, 3-8, 10-12, 14-19, 21-23		0	34-43, 45-51, 3-8, 10-12, 14-19, 21-23	
3292195	EN	Wed	1145	45	ErWi	5B	D41			34-43, 45-51, 3-8, 10-12, 14-19, 21-23		0	34-43, 45-51, 3-8, 10-12, 14-19, 21-23	
3292306	Rast	Wed	1145	30	DaCa							0	33-42, 44-47, 49-51, 2-8, 11-12, 14-23	
3292559	Rast	Wed	1145	30	JoGe							0	33-42, 44-47, 49-51, 2-8, 11-12, 14-23	
3292605	Rast	Wed	1145	30	MiJä							0	34-43, 45-51, 2-8, 11-12, 14-23	
3292626	Rast	Wed	1145	30	NaAf							0	33-42, 44-47, 49-51, 2-8, 11-12, 14-23	
3292673	HoY Time	Wed	1145	30	CaSk							0	33-42, 44-47, 49-51, 2-8, 11-12, 14-23	
3292719	Rast	Wed	1145	30	ChPl							0	33-42, 44-47, 49-51, 2-8, 11-12, 14-23	
3291632	Mont Music	Wed	1150	60	AlWe							0	33-42, 44-47, 49-51, 2-8, 11-12, 14-23	
3291772	SVA	Wed	1155	60	HayAlj	7SVA2	B22				33	0	34-43, 45-51, 2-8, 11-12, 14-23	
3291807	SVA	Wed	1155	60	EmLa	7SVA1	C30				33	0	34-43, 45-51, 2-8, 11-12, 14-23	
3291839	Life Skills	Wed	1155	60	AnPe	8C	B24				33	0	34-43, 45-51, 2-8, 11-12, 14-23	
3292151	MA	Wed	1155	50	RyHa	8B	A15				33	0	34-43, 45-51, 2-8, 11-12, 14-23	
3292202	EN	Wed	1155	55	MeAb	8A	C38				33	0	34-43, 45-51, 2-8, 11-12, 14-23	
3292229	Prep Class	Wed	1155	60	ChLa	7Prep	B29				33	0	34-43, 45-51, 2-8, 11-12, 14-23	
3292239	SV	Wed	1155	60	JoEn	7SV	B23				33	0	34-43, 45-51, 2-8, 11-12, 14-23	
3292118	Break Senior	Wed	1200	20		9A,9B,9C	Outside Senior,Student Lounge			34-43, 45-51, 3-8, 10-12, 14-19, 21-23	33	0	34-43, 45-51, 3-8, 10-12, 14-19, 21-23	
3292249	Rast	Wed	1200	30	GiPr							0	33-42, 44-47, 49-51, 2-8, 11-12, 14-23	
3292597	Rast	Wed	1200	30	MaBe							0	33-42, 44-47, 49-51, 2-8, 11-12, 14-23	
3292608	Rast	Wed	1200	30	MatWik							0	33-42, 44-47, 49-51, 2-8, 11-12, 14-23	
3292320	Rast	Wed	1215	30	FaCa							0	33-42, 44-47, 49-51, 2-8, 11-12, 14-23	
3291992	MA	Wed	1220	50	JaOm	9A	A13				33	0	34-43, 45-51, 2-8, 11-12, 14-23	
3292146	NO	Wed	1220	55	NaAf	9B	A17				33	0	34-43, 45-51, 2-8, 11-12, 14-23	
3291630	B-support	Wed	1225	55	AsRo	9EnSv2	B25					0	34-43, 45-51, 2-8, 11-12, 14-23	
3292106	M2SP	Wed	1225	55	LilCor	9Sp3,9SpC	C36					0	34-43, 45-51, 2-8, 11-12, 14-23	
3292108	Changing Time	Wed	1225	10	OlGo	6A	Changing Room				33	0	34-43, 45-51, 2-8, 11-12, 14-23	
3292261	M2FR	Wed	1225	55	MaFu	9FrC	C37			34-43, 45-51, 3-8, 10-12, 14-19, 21-23	33	0	34-43, 45-51, 3-8, 10-12, 14-19, 21-23	
